Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Year
Took Prescription Medication for Mental Health,By State,Connecticut,Connecticut,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,18.8,15.7,22.3,2020
Took Prescription Medication for Mental Health,By State,Delaware,Delaware,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,19.8,16.4,23.6,2020
Took Prescription Medication for Mental Health,By State,District of Columbia,District of Columbia,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,18.0,13.8,22.8,2020
Took Prescription Medication for Mental Health,By State,Florida,Florida,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,19.0,16.4,21.7,2020
Took Prescription Medication for Mental Health,By State,Georgia,Georgia,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,21.1,18.5,23.9,2020
Took Prescription Medication for Mental Health,By State,Hawaii,Hawaii,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,12.2,9.8,15.0,2020
Took Prescription Medication for Mental Health,By State,Idaho,Idaho,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,22.5,19.8,25.4,2020
Took Prescription Medication for Mental Health,By State,Illinois,Illinois,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,17.2,14.9,19.6,2020
Took Prescription Medication for Mental Health,By State,Indiana,Indiana,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.5,20.7,26.4,2020
Took Prescription Medication for Mental Health,By State,Iowa,Iowa,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.1,19.9,26.5,2020
Took Prescription Medication for Mental Health,By State,Kansas,Kansas,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,21.2,17.9,24.7,2020
Took Prescription Medication for Mental Health,By State,Kentucky,Kentucky,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,26.8,23.0,30.9,2020
Took Prescription Medication for Mental Health,By State,Louisiana,Louisiana,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.6,20.6,26.9,2020
Took Prescription Medication for Mental Health,By State,Maine,Maine,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.1,19.4,27.1,2020
Took Prescription Medication for Mental Health,By State,Maryland,Maryland,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,17.1,15.1,19.3,2020
Took Prescription Medication for Mental Health,By State,Massachusetts,Massachusetts,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,19.9,18.0,21.9,2020
Took Prescription Medication for Mental Health,By State,Michigan,Michigan,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,20.4,17.7,23.3,2020
Took Prescription Medication for Mental Health,By State,Minnesota,Minnesota,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,20.6,18.3,23.0,2020
Took Prescription Medication for Mental Health,By State,Mississippi,Mississippi,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,20.8,17.4,24.7,2020
Took Prescription Medication for Mental Health,By State,Missouri,Missouri,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.7,21.0,26.6,2020
Took Prescription Medication for Mental Health,By State,Montana,Montana,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,18.4,15.5,21.5,2020
Took Prescription Medication for Mental Health,By State,Nebraska,Nebraska,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.6,20.1,27.3,2020
Took Prescription Medication for Mental Health,By State,Nevada,Nevada,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,15.0,12.8,17.5,2020
Took Prescription Medication for Mental Health,By State,New Hampshire,New Hampshire,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,21.1,17.4,25.2,2020
Took Prescription Medication for Mental Health,By State,New Jersey,New Jersey,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,18.7,16.2,21.5,2020
Took Prescription Medication for Mental Health,By State,New Mexico,New Mexico,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,18.5,15.5,21.9,2020
Took Prescription Medication for Mental Health,By State,New York,New York,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,17.8,15.3,20.5,2020
Took Prescription Medication for Mental Health,By State,North Carolina,North Carolina,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,19.4,16.7,22.3,2020
Took Prescription Medication for Mental Health,By State,North Dakota,North Dakota,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,19.6,15.8,23.9,2020
Took Prescription Medication for Mental Health,By State,Ohio,Ohio,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,21.7,18.4,25.4,2020
Took Prescription Medication for Mental Health,By State,Oklahoma,Oklahoma,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,21.9,19.1,24.8,2020
Took Prescription Medication for Mental Health,By State,Oregon,Oregon,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,22.9,20.1,25.9,2020
Took Prescription Medication for Mental Health,By State,Pennsylvania,Pennsylvania,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,22.1,19.1,25.3,2020
Took Prescription Medication for Mental Health,By State,Rhode Island,Rhode Island,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.1,19.4,27.2,2020
Took Prescription Medication for Mental Health,By State,South Carolina,South Carolina,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,20.5,17.8,23.4,2020
Took Prescription Medication for Mental Health,By State,South Dakota,South Dakota,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,17.8,14.2,21.7,2020
Took Prescription Medication for Mental Health,By State,Tennessee,Tennessee,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,21.2,18.4,24.1,2020
Took Prescription Medication for Mental Health,By State,Texas,Texas,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,16.4,14.4,18.5,2020
Took Prescription Medication for Mental Health,By State,Utah,Utah,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.9,21.1,26.8,2020
Took Prescription Medication for Mental Health,By State,Vermont,Vermont,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.2,18.5,28.5,2020
Took Prescription Medication for Mental Health,By State,Virginia,Virginia,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,18.9,16.6,21.5,2020
Took Prescription Medication for Mental Health,By State,Washington,Washington,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,20.9,19.3,22.6,2020
Took Prescription Medication for Mental Health,By State,West Virginia,West Virginia,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,22.4,18.8,26.3,2020
Took Prescription Medication for Mental Health,By State,Wisconsin,Wisconsin,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,19.7,17.3,22.2,2020
Took Prescription Medication for Mental Health,By State,Wyoming,Wyoming,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,18.7,15.0,22.7,2020
Received Counseling or Therapy,National Estimate,United States,United States,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,8.7,8.3,9.2,2020
Received Counseling or Therapy,By Age,United States,18 - 29 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,12.2,10.9,13.7,2020
Received Counseling or Therapy,By Age,United States,30 - 39 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,11.7,11.0,12.6,2020
Received Counseling or Therapy,By Age,United States,40 - 49 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,10.0,9.4,10.5,2020
Received Counseling or Therapy,By Age,United States,50 - 59 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,8.4,7.6,9.2,2020
Received Counseling or Therapy,By Age,United States,60 - 69 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,5.4,4.9,6.0,2020
Received Counseling or Therapy,By Age,United States,70 - 79 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,4.1,3.4,5.0,2020
Received Counseling or Therapy,By Age,United States,80 years and above,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,3.0,2.0,4.4,2020
Received Counseling or Therapy,By Sex,United States,Male,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,6.7,6.2,7.3,2020
Received Counseling or Therapy,By Sex,United States,Female,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,10.6,10.1,11.2,2020
Received Counseling or Therapy,By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,4.8,4.5,5.1,2020
Received Counseling or Therapy,By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,15.7,14.8,16.6,2020
Received Counseling or Therapy,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.3,6.2,8.4,2020
Received Counseling or Therapy,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.4,8.9,9.8,2020
Received Counseling or Therapy,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.7,6.7,8.7,2020
Received Counseling or Therapy,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,6.2,5.1,7.5,2020
Received Counseling or Therapy,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,10.6,9.0,12.4,2020
Received Counseling or Therapy,By Education,United States,Less than a high school diploma,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.1,5.6,8.8,2020
Received Counseling or Therapy,By Education,United States,High school diploma or GED,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,6.6,5.9,7.5,2020
Received Counseling or Therapy,By Education,United States,Some college/Associate's degree,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,8.7,8.0,9.4,2020
Received Counseling or Therapy,By Education,United States,Bachelor's degree or higher,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,11.1,10.6,11.5,2020
Received Counseling or Therapy,By State,Alabama,Alabama,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,8.5,6.5,10.9,2020
Received Counseling or Therapy,By State,Alaska,Alaska,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.5,6.2,9.0,2020
Received Counseling or Therapy,By State,Arizona,Arizona,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.3,5.6,9.3,2020
Received Counseling or Therapy,By State,Arkansas,Arkansas,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,6.1,4.4,8.1,2020
Received Counseling or Therapy,By State,California,California,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.5,8.1,11.0,2020
Received Counseling or Therapy,By State,Colorado,Colorado,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,10.1,8.4,12.1,2020
Received Counseling or Therapy,By State,Connecticut,Connecticut,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,12.3,9.7,15.3,2020
Received Counseling or Therapy,By State,Delaware,Delaware,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,10.0,7.4,13.0,2020
Received Counseling or Therapy,By State,District of Columbia,District of Columbia,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,19.1,13.9,25.3,2020
Received Counseling or Therapy,By State,Florida,Florida,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.8,6.4,9.5,2020
Received Counseling or Therapy,By State,Georgia,Georgia,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.9,5.9,10.2,2020
Received Counseling or Therapy,By State,Hawaii,Hawaii,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,11.9,8.4,16.1,2020
Received Counseling or Therapy,By State,Idaho,Idaho,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,8.3,6.5,10.4,2020
Received Counseling or Therapy,By State,Illinois,Illinois,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,8.8,7.2,10.7,2020
Received Counseling or Therapy,By State,Indiana,Indiana,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,6.8,5.2,8.7,2020
Received Counseling or Therapy,By State,Iowa,Iowa,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,8.1,6.6,9.7,2020
Received Counseling or Therapy,By State,Kansas,Kansas,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.7,6.0,9.7,2020
Received Counseling or Therapy,By State,Kentucky,Kentucky,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,5.8,4.2,7.9,2020
Received Counseling or Therapy,By State,Louisiana,Louisiana,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.5,7.3,12.1,2020
Received Counseling or Therapy,By State,Maine,Maine,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,12.4,9.2,16.1,2020
Received Counseling or Therapy,By State,Maryland,Maryland,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,8.7,7.5,10.1,2020
Received Counseling or Therapy,By State,Massachusetts,Massachusetts,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,12.7,11.3,14.2,2020
Received Counseling or Therapy,By State,Michigan,Michigan,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.0,7.2,11.2,2020
Received Counseling or Therapy,By State,Minnesota,Minnesota,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.5,8.2,10.9,2020
Received Counseling or Therapy,By State,Mississippi,Mississippi,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,6.8,4.8,9.3,2020
Received Counseling or Therapy,By State,Missouri,Missouri,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.9,5.9,10.2,2020
Received Counseling or Therapy,By State,Montana,Montana,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.2,7.1,11.7,2020
Received Counseling or Therapy,By State,Nebraska,Nebraska,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,6.8,5.0,8.9,2020
Received Counseling or Therapy,By State,Nevada,Nevada,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,6.7,5.3,8.3,2020
Received Counseling or Therapy,By State,New Hampshire,New Hampshire,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.1,5.4,9.2,2020
Received Counseling or Therapy,By State,New Jersey,New Jersey,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.3,7.7,11.0,2020
Received Counseling or Therapy,By State,New Mexico,New Mexico,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,10.1,8.0,12.5,2020
Received Counseling or Therapy,By State,New York,New York,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,10.5,9.0,12.0,2020
Received Counseling or Therapy,By State,North Carolina,North Carolina,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,8.9,6.9,11.2,2020
Received Counseling or Therapy,By State,North Dakota,North Dakota,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,4.9,3.3,6.9,2020
Received Counseling or Therapy,By State,Ohio,Ohio,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.6,7.4,12.1,2020
Received Counseling or Therapy,By State,Oklahoma,Oklahoma,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.5,5.5,9.9,2020
Received Counseling or Therapy,By State,Oregon,Oregon,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,13.0,11.0,15.2,2020
Received Counseling or Therapy,By State,Pennsylvania,Pennsylvania,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.3,7.9,10.8,2020
Received Counseling or Therapy,By State,Rhode Island,Rhode Island,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,13.5,10.6,17.0,2020
Received Counseling or Therapy,By State,South Carolina,South Carolina,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,5.4,3.8,7.5,2020
Received Counseling or Therapy,By State,South Dakota,South Dakota,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,6.2,4.3,8.6,2020
Received Counseling or Therapy,By State,Tennessee,Tennessee,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,8.2,6.5,10.2,2020
Received Counseling or Therapy,By State,Texas,Texas,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,6.7,5.5,8.2,2020
Received Counseling or Therapy,By State,Utah,Utah,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.4,8.0,10.9,2020
Received Counseling or Therapy,By State,Vermont,Vermont,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,11.4,8.8,14.5,2020
Received Counseling or Therapy,By State,Virginia,Virginia,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,9.3,7.7,11.2,2020
Received Counseling or Therapy,By State,Washington,Washington,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,10.3,8.8,11.9,2020
Received Counseling or Therapy,By State,West Virginia,West Virginia,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,5.1,3.6,6.9,2020
Received Counseling or Therapy,By State,Wisconsin,Wisconsin,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,7.2,5.9,8.6,2020
Received Counseling or Therapy,By State,Wyoming,Wyoming,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,5.3,3.8,7.2,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,National Estimate,United States,United States,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,22.4,22.0,22.9,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Age,United States,18 - 29 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.3,21.5,25.2,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Age,United States,30 - 39 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.1,22.1,24.1,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Age,United States,40 - 49 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.6,22.8,24.5,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Age,United States,50 - 59 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.9,22.8,25.1,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Age,United States,60 - 69 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,21.2,20.2,22.2,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Age,United States,70 - 79 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,19.6,18.1,21.1,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Age,United States,80 years and above,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,14.8,12.0,17.9,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Sex,United States,Male,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,16.3,15.6,17.1,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Sex,United States,Female,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,28.0,27.3,28.7,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,13.9,13.4,14.4,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,37.5,36.5,38.5,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,17.2,15.8,18.6,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,25.6,25.0,26.1,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,15.6,14.2,17.1,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,11.1,9.7,12.5,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,25.0,22.3,27.9,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Education,United States,Less than a high school diploma,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,20.0,17.3,22.9,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Education,United States,High school diploma or GED,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,20.1,19.1,21.2,2020
Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy,By Education,United States,Some college/Associate's degree,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,23.5,22.7,24.4,2020
